postalcode,borough,dIstrIct
34010,ZEYTINBURNU,TOPKAPI
34015,ZEYTINBURNU,SEYITNIZAM
34020,ZEYTINBURNU,TELSIZ
34022,BESIKTAS,ABBASAGA
34025,ZEYTINBURNU,CIRPICI
34030,BAYRAMPASA,NUMUNEBAG
34035,BAYRAMPASA,ALTINTEPSI
34040,BAYRAMPASA,MURATPASA
34045,BAYRAMPASA,YILDIRIM
34050,EYUPSULTAN,EYUP
34055,EYUPSULTAN,RAMI
34060,EYUPSULTAN,ALIBEYKOY
34065,EYUPSULTAN,YESILPINAR
34070,EYUPSULTAN,CIRCIR
34075,EYUPSULTAN,KEMERBURGAZ
34076,EYUPSULTAN,ISIKLAR
34077,EYUPSULTAN,GOKTURK
34080,FATIH,ISKENDERPASA
34083,FATIH,ZEYREK
34087,FATIH,BALAT
34091,FATIH,KARAGUMRUK
34093,FATIH,TOPKAPI
34096,FATIH,AKSARAY
34098,FATIH,KOCAMUSTAFAPASA
34104,FATIH,SEHREMINI
34107,FATIH,YEDIKULE
34110,FATIH,EMINONU
34112,FATIH,SIRKECI
34116,FATIH,TAHTAKALE
34120,FATIH,MAHMUTPASA
34122,FATIH,SULTANAHMET
34126,FATIH,BAYAZIT
34130,FATIH,KUMKAPI
34134,FATIH,VEFA
34140,BAKIRKOY,ZEYTINLIK
34142,BAKIRKOY,CEVIZLIK
34145,BAKIRKOY,KARTALTEPE
34146,BAKIRKOY,OSMANIYE
34147,BAKIRKOY,ZUHURATBABA
34149,BAKIRKOY,YESILKOY
34153,BAKIRKOY,FLORYA
34158,BAKIRKOY,ATAKOY
34160,GUNGOREN,AKINCILAR
34164,GUNGOREN,GUNGOREN
34165,GUNGOREN,SANAYI
34173,GUNGOREN,TOZKOPARAN
34180,BAHCELIEVLER,BAHCELIEVLER
34188,BAHCELIEVLER,SIRINEVLER
34197,BAHCELIEVLER,YENIBOSNA
34200,BAGCILAR,BAGCILAR
34212,BAGCILAR,GUNESLI
34218,BAGCILAR,MAHMUTBEY
34220,ESENLER,ESENLER
34225,ESENLER,KARABAYIR
34230,ESENLER,ATISALANI
34235,ESENLER,SANAYI
34240,GAZIOSMANPASA,YILDIZTABYA
34245,GAZIOSMANPASA,GAZIOSMANPASA
34250,GAZIOSMANPASA,KUCUKKOY
34255,GAZIOSMANPASA,MEVLANA
34260,SULTANGAZI,ZUBEYDEHANIM
34265,SULTANGAZI,SULTANCIFTLIGI
34270,SULTANGAZI,SULTANGAZI
34275,ARNAVUTKOY,ARNAVUTKOY
34277,ARNAVUTKOY,BAKLALI
34281,ARNAVUTKOY,HARACCI
34283,ARNAVUTKOY,TASOLUK
34285,ARNAVUTKOY,BOGAZKOY
34287,ARNAVUTKOY,BOLLUCA
34290,KUCUKCEKMECE,KUCUKCEKMECE
34295,KUCUKCEKMECE,SEFAKOY
34303,KUCUKCEKMECE,HALKALI
34307,KUCUKCEKMECE,ATAKENT
34310,AVCILAR,AVCILAR
34315,AVCILAR,AMBARLI
34320,AVCILAR,GUMUSPALA
34325,AVCILAR,FIRUZKOY
34330,BESIKTAS,LEVENT
34335,BESIKTAS,AKATLAR
34337,BESIKTAS,ETILER
34340,BESIKTAS,LEVAZIM
34342,BESIKTAS,BEBEK
34345,BESIKTAS,ARNAVUTKOY
34347,BESIKTAS,ORTAKOY
34349,BESIKTAS,GAYRETTEPE
34357,BESIKTAS,TURKALI
34363,SISLI,MESRUTIYET
34365,SISLI,TESVIKIYE
34367,SISLI,HARBIYE
34371,SISLI,HALASKARGAZI
34373,SISLI,PANGALTI
34375,SISLI,BOZKURT
34377,SISLI,FERIKOY
34379,SISLI,DUATEPE
34380,SISLI,CUMHURIYET
34381,SISLI,MECIDIYEKOY
34384,SISLI,OKMEYDANI
34394,SISLI,ESENTEPE
34400,KAGITHANE,GURSEL
34403,KAGITHANE,CAGLAYAN
34406,KAGITHANE,KAGITHANE MERKEZ
34408,KAGITHANE,HAMIDIYE
34410,KAGITHANE,GULTEPE
34413,KAGITHANE,CELIKTEPE
34415,KAGITHANE,SIRINTEPE
34418,KAGITHANE,SEYRANTEPE
34421,BEYOGLU,ARAPCAMI
34425,BEYOGLU,KEMANKES
34427,BEYOGLU,PURTELAS
34430,BEYOGLU,ISTIKLAL
34433,BEYOGLU,CIHANGIR
34435,BEYOGLU,TARLABASI
34437,BEYOGLU,TAKSIM
34440,BEYOGLU,KASIMPASA
34445,BEYOGLU,HALICIOGLU
34450,SARIYER,SARIYER
34453,SARIYER,BUYUKDERE
34457,SARIYER,TARABYA
34460,SARIYER,ISTINYE
34464,SARIYER,YENIKOY
34467,SARIYER,EMIRGAN
34470,SARIYER,RUMELIHISARI
34473,SARIYER,BAHCEKOY
34480,BASAKSEHIR,BASAKSEHIR
34485,SARIYER,MASLAK
34488,BASAKSEHIR,BAHCESEHIR
34490,BASAKSEHIR,IKITELLI
34492,BASAKSEHIR,SAMLAR
34494,BASAKSEHIR,ALTINSEHIR
34500,BUYUKCEKMECE,BUYUKCEKMECE
34510,ESENYURT,INCIRTEPE
34513,ESENYURT,SAADETDERE
34515,ESENYURT,MEHTERCESME
34517,ESENYURT,ESENYURT
34520,BEYLIKDUZU,BEYLIKDUZU
34522,ESENYURT,KIRAC
34524,BEYLIKDUZU,YAKUPLU
34528,BEYLIKDUZU,GURPINAR
34530,BUYUKCEKMECE,KUMBURGAZ
34534,BUYUKCEKMECE,CELALIYE
34535,BUYUKCEKMECE,MIMARSINAN
34537,BUYUKCEKMECE,TEPECIK
34538,ESENYURT,SANAYI
34540,CATALCA,CATALCA
34555,ARNAVUTKOY,HADIMKOY
34570,SILIVRI,SILIVRI
34580,SILIVRI,CANTA
34582,SILIVRI,FENER
34586,SILIVRI,DEGIRMENKOY
34588,SILIVRI,GUMUSYAKA
34590,SILIVRI,SELIMPASA
34592,SILIVRI,ORTAKOY
34594,SILIVRI,BUYUKCAVUSLU
34596,SILIVRI,KAVAKLI
34660,USKUDAR,ACIBADEM
34662,USKUDAR,ALTUNIZADE
34664,USKUDAR,MURATREIS
34668,USKUDAR,SELIMIYE
34672,USKUDAR,MIMARSINAN
34674,USKUDAR,KUZGUNCUK
34676,USKUDAR,BEYLERBEYI
34680,USKUDAR,CENGELKOY
34682,USKUDAR,KIRAZLITEPE
34684,USKUDAR,KANDILLI
34688,USKUDAR,BAHCELIEVLER
34690,USKUDAR,YAVUZTURK
34692,USKUDAR,FERAH
34696,USKUDAR,BULGURLU
34697,USKUDAR,CUMHURIYET
34700,USKUDAR,UNALAN
34704,ATASEHIR,ORNEK
34707,ATASEHIR,MUSTAFAKEMAL
34710,KADIKOY,CAFERAGA
34714,KADIKOY,OSMANAGA
34716,KADIKOY,RASIMPASA
34718,KADIKOY,KOSUYOLU
34720,KADIKOY,FIKIRTEPE
34722,KADIKOY,EGITIM
34724,KADIKOY,FENERYOLU
34726,KADIKOY,FENERBAHCE
34728,KADIKOY,CADDEBOSTAN
34730,KADIKOY,GOZTEPE
34732,KADIKOY,MERDIVENKOY
34734,KADIKOY,SAHRAYICEDIT
34736,KADIKOY,ONDOKUZMAYIS
34738,KADIKOY,ERENKOY
34740,KADIKOY,SUADIYE
34742,KADIKOY,KOZYATAGI
34744,KADIKOY,BOSTANCI
34746,ATASEHIR,YENISAHRA
34750,ATASEHIR,KUCUKBAKKALKOY
34752,ATASEHIR,ICERENKOY
34755,ATASEHIR,KAYISDAGI
34758,ATASEHIR,ATATURK
34760,UMRANIYE,ATAKENT
34762,UMRANIYE,NAMIKKEMAL
34764,UMRANIYE,ATATURK
34766,UMRANIYE,KAZIMKARABEKIR
34768,UMRANIYE,INKILAP
34771,UMRANIYE,IHLAMURKUYU
34773,UMRANIYE,ASAGIDUDULLU
34774,UMRANIYE,CAKMAK
34775,UMRANIYE,YUKARIDUDULLU
34776,UMRANIYE,ESENSEHIR
34779,ATASEHIR,YENICAMLICA
34782,CEKMEKOY,CEKMEKOY
34785,SANCAKTEPE,SARIGAZI
34788,CEKMEKOY,TASDELEN
34791,SANCAKTEPE,YENIDOGAN
34794,CEKMEKOY,ALEMDAG
34799,CEKMEKOY,OMERLI
34800,BEYKOZ,PASABAHCE
34805,BEYKOZ,CUBUKLU
34810,BEYKOZ,ANADOLUHISARI
34815,BEYKOZ,GOKSU
34820,BEYKOZ,BEYKOZ
34825,BEYKOZ,TOKATKOY
34829,BEYKOZ,POLONEZKOY
34830,BEYKOZ,CAVUSBASI
34840,MALTEPE,KUCUKYALI
34841,MALTEPE,IDEALTEPE
34843,MALTEPE,FEYZULLAH
34844,MALTEPE,YALI
34846,MALTEPE,CEVIZLI
34848,MALTEPE,GULSUYU
34852,MALTEPE,ZUMRUTEVLER
34854,MALTEPE,AYDINEVLER
34858,MALTEPE,BUYUKBAKKALKOY
34860,KARTAL,KARTAL
34862,KARTAL,ATALAR
34865,KARTAL,ORHANTEPE
34870,KARTAL,ESENTEPE
34873,KARTAL,TOPSELVI
34876,KARTAL,YAKACIK
34880,KARTAL,SOGANLIK
34882,KARTAL,UGUR MUMCU
34885,SANCAKTEPE,EYUPSULTAN
34887,SANCAKTEPE,OSMANGAZI
34888,ATASEHIR,FERHATPASA
34890,PENDIK,CARSI
34893,PENDIK,BAHCELIEVLER
34896,PENDIK,CINARDERE
34899,PENDIK,CAMCESME
34903,PENDIK,ESENYALI
34906,PENDIK,SEYHLI
34909,PENDIK,YAYALAR
34912,PENDIK,YENISEHIR
34916,PENDIK,KURNA
34920,SULTANBEYLI,MEHMETAKIF
34925,SULTANBEYLI,NECIPFAZIL
34930,SULTANBEYLI,TURGUTREIS
34935,SULTANBEYLI,MIMARSINAN
34940,TUZLA,CARSI
34944,TUZLA,TERSANELER
34947,TUZLA,ICMELER
34950,TUZLA,MIMARSINAN
34953,TUZLA,AYDINLI
34956,TUZLA,ORHANLI
34959,TUZLA,AKFIRAT
34970,ADALAR,BUYUKADA
34973,ADALAR,HEYBELIADA
34975,ADALAR,BURGAZADA
34977,ADALAR,KINALIADA
34980,SILE,SILE
34983,SILE,AHMETLI
34990,SILE,AGVA
